time,humid_sht4x,pressure_bmp280,temp_bmp280,temp_sht4x
4/1/2024 23:41,56.32,1009.07,38.51,38.45
4/1/2024 23:42,53.05,1009.09,39.71,39.93
4/1/2024 23:43,51.33,1009.1,40.5,40.76
4/1/2024 23:44,49.77,1009.01,41.11,41.43
4/1/2024 23:45,48.85,1009.03,41.49,41.86
4/1/2024 23:46,48.11,1009.04,41.77,42.17
4/1/2024 23:47,48.1,1009.02,41.94,42.3
4/1/2024 23:48,47.71,1009.09,42.1,42.41
4/1/2024 23:49,47.6,1009.02,42.18,42.46
4/1/2024 23:50,47.48,1009.06,42.27,42.44
4/1/2024 23:51,47.2,1009,42.34,42.66
4/1/2024 23:52,47.18,1009,42.37,42.55
4/1/2024 23:53,46.92,1008.98,42.43,42.82
4/1/2024 23:54,46.91,1008.97,42.47,42.83
4/1/2024 23:55,46.96,1008.91,42.48,42.69
4/1/2024 23:56,46.88,1008.9,42.47,42.63
4/1/2024 23:57,46.81,1008.88,42.48,42.83
4/1/2024 23:58,46.88,1008.91,42.49,42.77
4/1/2024 23:59,46.93,1008.86,42.49,42.65
4/2/2024 0:00,46.72,1008.9,42.52,42.87
4/2/2024 0:01,46.5,1008.92,42.54,42.95
4/2/2024 0:02,46.68,1008.9,42.54,42.82
4/2/2024 0:03,46.69,1008.88,42.51,42.73
4/2/2024 0:04,46.44,1008.89,42.55,42.95
4/2/2024 0:05,46.58,1008.89,42.53,42.74
4/2/2024 0:06,46.64,1008.85,42.54,42.76
4/2/2024 0:07,46.54,1008.86,42.55,42.84
4/2/2024 0:08,46.38,1008.83,42.55,42.88
4/2/2024 0:09,46.49,1008.87,42.56,42.92
4/2/2024 0:10,46.41,1008.85,42.56,42.91
4/2/2024 0:11,46.52,1008.84,42.52,42.82
4/2/2024 0:12,46.47,1008.83,42.54,42.83
4/2/2024 0:13,46.81,1008.82,42.52,42.61
4/2/2024 0:14,46.26,1008.78,42.57,42.95
4/2/2024 0:15,46.41,1008.79,42.53,42.84
4/2/2024 0:16,46.46,1008.75,42.53,42.83
4/2/2024 0:17,46.68,1008.75,42.5,42.77
4/2/2024 0:18,46.63,1008.76,42.51,42.72
4/2/2024 0:19,46.54,1008.7,42.52,42.83
4/2/2024 0:20,46.43,1008.7,42.52,42.86
4/2/2024 0:21,46.48,1008.7,42.52,42.82
4/2/2024 0:22,46.24,1008.66,42.52,42.85
4/2/2024 0:23,46.16,1008.68,42.53,42.92
4/2/2024 0:24,46.56,1008.65,42.5,42.68
4/2/2024 0:25,46.3,1008.66,42.51,42.84
4/2/2024 0:26,46.31,1008.61,42.5,42.79
4/2/2024 0:27,46.28,1008.55,42.47,42.72
4/2/2024 0:28,46.28,1008.56,42.48,42.77
4/2/2024 0:29,46.18,1008.56,42.48,42.83
4/2/2024 0:30,46.18,1008.54,42.47,42.78
